Time(CEST),Switch,Client,Event type,Details
3/12/18 20:08,frp-sa01-3,,Port STP change,"""Port 39 disabled&rarr;designated"""
3/12/18 20:08,frp-sa01-3,,Port status change,"""port: 39, old: down, new: 1Gfdx"""
3/12/18 20:08,frp-sa01-3,,Port status change,"""port: 48, old: down, new: 1Gfdx"""
3/12/18 20:08,frp-sa01-3,,Port STP change,"""Port 47 disabled&rarr;designated"""
3/12/18 20:08,frp-sa01-3,,Port status change,"""port: 47, old: down, new: 1Gfdx"""
3/12/18 20:08,frp-sa01-3,,Port STP change,"""Port 19 disabled&rarr;designated"""
3/12/18 20:08,frp-sa01-3,,Port status change,"""port: 19, old: down, new: 100fdx"""
3/12/18 20:08,frp-sa01-3,,Port STP change,"""Port 41 disabled&rarr;designated"""
3/12/18 20:08,frp-sa01-3,,Port status change,"""port: 41, old: down, new: 1Gfdx"""
3/12/18 20:08,frp-sa01-3,,Port STP change,"""Port 45 disabled&rarr;designated"""
3/12/18 20:08,frp-sa01-3,,Port status change,"""port: 45, old: down, new: 100fdx"""
3/12/18 20:08,frp-sa01-3,,Port status change,"""port: 54, old: down, new: 20Gfdx"""
3/12/18 20:08,frp-sa01-3,,LED change,"""power: orange"""
3/12/18 18:37,frp-sa01-3,,Port status change,"""port: 38, old: 10fdx, new: down"""
3/12/18 18:37,frp-sa01-3,,Port status change,"""port: 38, old: down, new: 10fdx"""
3/12/18 18:37,frp-sa01-3,,Port status change,"""port: 38, old: 1Gfdx, new: down"""
3/12/18 17:58,frp-sa01-3,,Port status change,"""port: 19, old: down, new: 100fdx"""
3/12/18 17:58,frp-sa01-3,,Port status change,"""port: 19, old: 1Gfdx, new: down"""
3/12/18 16:28,frp-sa01-3,,Port status change,"""port: 19, old: down, new: 1Gfdx"""
3/12/18 16:01,frp-sa01-3,,Events dropped,"""12 events were not logged. <img class='asx_p fa fa-info-circle auto_hohelp events_dropped' src='/images/1x1.gif' alt='[Help]' />"""
3/12/18 15:59,frp-sa01-3,,Port STP change,"""Port 35 disabled&rarr;designated"""
3/12/18 15:59,frp-sa01-3,,Port STP change,"""Port 35 designated&rarr;disabled"""
3/12/18 15:59,frp-sa01-3,,Port STP change,"""Port 30 disabled&rarr;designated"""
3/12/18 15:59,frp-sa01-3,,Port STP change,"""Port 30 designated&rarr;disabled"""
3/12/18 15:59,frp-sa01-3,,Port STP change,"""Port 26 disabled&rarr;designated"""
3/12/18 15:59,frp-sa01-3,,Port STP change,"""Port 26 designated&rarr;disabled"""
3/12/18 15:59,frp-sa01-3,,Port STP change,"""Port 24 disabled&rarr;designated"""
3/12/18 15:59,frp-sa01-3,,Port STP change,"""Port 24 designated&rarr;disabled"""
3/12/18 15:59,frp-sa01-3,,Port STP change,"""Port 23 disabled&rarr;designated"""
3/12/18 15:59,frp-sa01-3,,Port STP change,"""Port 23 designated&rarr;disabled"""
